# file...... Result_no_control/Load32_voltage.csv
# date...... Thu Mar 10 17:27:05 2016
# user...... chepeadan
# host...... (null)
# target.... load 982
# trigger... (none)
# interval.. 0
# limit..... 0
# timestamp,voltage_C.real,voltage_C.imag
2000-01-01 06:18:00 EST,+0.179898,+251.681
2000-01-01 06:19:00 EST,+0.133226,+251.673
2000-01-01 06:20:00 EST,+0.129798,+251.634
2000-01-01 06:21:00 EST,+0.135826,+251.56
2000-01-01 06:22:00 EST,+0.156413,+251.573
2000-01-01 06:23:00 EST,+0.171793,+251.562
2000-01-01 06:24:00 EST,+0.184491,+251.572
2000-01-01 06:25:00 EST,+0.165228,+251.319
2000-01-01 06:26:00 EST,+0.144957,+251.377
2000-01-01 06:27:00 EST,+0.121149,+250.983
2000-01-01 06:28:00 EST,-0.0314259,+251.418
2000-01-01 06:29:00 EST,-0.00736115,+251.35
2000-01-01 06:30:00 EST,+0.0247364,+251.464
2000-01-01 06:31:00 EST,+0.211229,+251.338
2000-01-01 06:32:00 EST,+0.155138,+251.355
2000-01-01 06:33:00 EST,+0.125802,+251.432
2000-01-01 06:34:00 EST,+0.110772,+251.451
2000-01-01 06:35:00 EST,+0.155073,+251.509
2000-01-01 06:36:00 EST,+0.15422,+251.512
2000-01-01 06:37:00 EST,+0.132304,+251.509
2000-01-01 06:38:00 EST,+0.0888768,+251.508
2000-01-01 06:39:00 EST,+0.0197848,+251.533
2000-01-01 06:40:00 EST,-0.00910902,+251.567
2000-01-01 06:41:00 EST,-0.0552649,+251.602
2000-01-01 06:42:00 EST,-0.0523717,+251.629
2000-01-01 06:43:00 EST,-0.0472639,+251.668
2000-01-01 06:44:00 EST,-0.0756062,+251.612
2000-01-01 06:45:00 EST,-0.0716852,+251.607
2000-01-01 06:46:00 EST,-0.071435,+251.647
2000-01-01 06:47:00 EST,-0.0468339,+251.651
2000-01-01 06:48:00 EST,-0.0311317,+251.632
2000-01-01 06:49:00 EST,-0.0506751,+251.712
2000-01-01 06:50:00 EST,-0.87124,+252.617
2000-01-01 06:51:00 EST,-0.863491,+252.681
2000-01-01 06:52:00 EST,-0.836009,+252.666
2000-01-01 06:53:00 EST,-0.03385,+251.641
2000-01-01 06:54:00 EST,-0.0357121,+251.626
2000-01-01 06:55:00 EST,-0.152358,+250.296
2000-01-01 06:56:00 EST,-0.485831,+250.679
2000-01-01 06:57:00 EST,-0.503871,+250.597
2000-01-01 06:58:00 EST,-0.221807,+250.643
2000-01-01 06:59:00 EST,-0.169788,+250.717
2000-01-01 07:00:00 EST,-0.195765,+250.649
2000-01-01 07:01:00 EST,-0.552835,+250.627
2000-01-01 07:02:00 EST,-0.49468,+250.52
2000-01-01 07:03:00 EST,-0.488591,+250.508
2000-01-01 07:04:00 EST,-0.462073,+250.48
2000-01-01 07:05:00 EST,-0.623556,+250.643
2000-01-01 07:06:00 EST,-0.602625,+250.663
2000-01-01 07:07:00 EST,+0.194965,+251.089
2000-01-01 07:08:00 EST,+0.392993,+250.871
2000-01-01 07:09:00 EST,+0.383867,+250.921
2000-01-01 07:10:00 EST,+0.98398,+250.911
2000-01-01 07:11:00 EST,+1.04469,+250.885
2000-01-01 07:12:00 EST,+1.02844,+250.761
2000-01-01 07:13:00 EST,-0.23086,+250.506
2000-01-01 07:14:00 EST,-0.233952,+250.621
2000-01-01 07:15:00 EST,-0.0855366,+251.805
2000-01-01 07:16:00 EST,-0.233307,+251.417
2000-01-01 07:17:00 EST,-0.250894,+251.343
2000-01-01 07:18:00 EST,-0.183028,+251.328
2000-01-01 07:19:00 EST,-0.349621,+250.272
2000-01-01 07:20:00 EST,-0.423226,+249.494
2000-01-01 07:21:00 EST,-0.364148,+249.608
2000-01-01 07:22:00 EST,-0.586612,+247.176
2000-01-01 07:23:00 EST,-0.498484,+248.127
2000-01-01 07:24:00 EST,-0.546788,+248.082
2000-01-01 07:25:00 EST,+0.758386,+251.708
2000-01-01 07:26:00 EST,+0.811842,+251.716
2000-01-01 07:27:00 EST,+0.0730904,+252.886
2000-01-01 07:28:00 EST,-0.998633,+252.665
2000-01-01 07:29:00 EST,-0.925588,+252.698
2000-01-01 07:30:00 EST,+0.086133,+251.555
2000-01-01 07:31:00 EST,+0.124963,+251.545
2000-01-01 07:32:00 EST,+0.14727,+251.696
2000-01-01 07:33:00 EST,+0.2045,+251.766
2000-01-01 07:34:00 EST,+0.0944754,+251.726
2000-01-01 07:35:00 EST,+0.106222,+251.829
2000-01-01 07:36:00 EST,+0.127991,+251.793
2000-01-01 07:37:00 EST,+0.0946506,+251.829
2000-01-01 07:38:00 EST,+0.125119,+251.85
2000-01-01 07:39:00 EST,-0.0764621,+252.149
2000-01-01 07:40:00 EST,-0.127176,+252.125
2000-01-01 07:41:00 EST,-0.150611,+251.895
2000-01-01 07:42:00 EST,+0.509568,+251.788
2000-01-01 07:43:00 EST,+0.477912,+251.786
2000-01-01 07:44:00 EST,-0.539099,+252.789
2000-01-01 07:45:00 EST,-1.05066,+251.958
2000-01-01 07:46:00 EST,-1.06415,+252.082
2000-01-01 07:47:00 EST,-0.0738916,+250.169
2000-01-01 07:48:00 EST,-0.00385204,+250.957
2000-01-01 07:49:00 EST,-0.0718007,+250.241
2000-01-01 07:50:00 EST,-0.00385532,+251.079
2000-01-01 07:51:00 EST,-0.422159,+251.527
2000-01-01 07:52:00 EST,-0.258995,+251.522
2000-01-01 07:53:00 EST,-0.304973,+251.533
2000-01-01 07:54:00 EST,-0.381075,+250.819
2000-01-01 07:55:00 EST,-0.522529,+250.672
2000-01-01 07:56:00 EST,-0.481636,+250.693
2000-01-01 07:57:00 EST,-0.531042,+249.212
2000-01-01 07:58:00 EST,-0.634035,+249.408
2000-01-01 07:59:00 EST,-0.664264,+249.425
2000-01-01 08:00:00 EST,-0.538906,+251.624
2000-01-01 08:01:00 EST,-0.947324,+252.077
2000-01-01 08:02:00 EST,-1.00856,+252.156
2000-01-01 08:03:00 EST,-0.701951,+251.819
2000-01-01 08:04:00 EST,-0.819318,+251.866
2000-01-01 08:05:00 EST,-1.16218,+248.296
2000-01-01 08:06:00 EST,-1.24604,+245.309
